"","date","base_temp"
"249",1698,76
"250",1699,84
"251",1700,210
"252",1701,81
"253",1702,61
"254",1703,60
"255",1704,58
"256",1705,68
"257",1706,45
"258",1707,70
"259",1708,82
"260",1709,59
"261",1710,67
"262",1711,43
"263",1712,70
"264",1713,50
"265",1714,74
"266",1715,80
"267",1716,91
"268",1717,85
"269",1718,95
"270",1719,111
"271",1720,98
"272",1721,94
"273",1722,89
"274",1723,108
"275",1724,94
"276",1725,120
"277",1726,70
"278",1727,125
"279",1728,100
"280",1729,116
"281",1730,104
"282",1731,107
"283",1732,102
"284",1733,133
"285",1734,146
"286",1735,133
"287",1736,143
"288",1737,174
"289",1738,133
"290",1739,131
"291",1740,143
"292",1741,130
"293",1742,144
"294",1743,175
"295",1744,282
"296",1745,283
"297",1746,180
"298",1747,205
"299",1748,202
"300",1749,180
"301",1750,244
"302",1751,213
"303",1752,222
"304",1753,237
"305",1754,218
"306",1755,232
"307",1756,261
"308",1757,237
"309",1758,257
"310",1759,307
"311",1760,261
"312",1761,272
"313",1762,289
"314",1763,317
"315",1764,249
"316",1765,252
"317",1766,263
"318",1767,229
"319",1768,280
"320",1769,251
"321",1770,249
"322",1771,245
"323",1772,282
"324",1773,239
"325",1774,301
"326",1775,366
"327",1776,340
"328",1777,298
"329",1778,254
"330",1779,320
"331",1780,313
"332",1781,335
"333",1782,297
"334",1783,273
"335",1784,351
"336",1785,326
"337",1786,305
"338",1787,433
"339",1788,515
"340",1789,1400
"341",1790,2600
"342",1791,1074
"343",1792,872
"344",1793,1093
"345",1794,755
"346",1795,554
"347",1796,472
"348",1797,783
"349",1798,689
"350",1799,722
"351",1800,1549
"352",1801,460
"353",1802,510
"354",1803,467
"355",1804,398
"356",1805,342
"357",1806,440
"358",1807,379
"359",1808,328
"360",1809,276
"361",1810,430
"362",1811,486
"363",1812,416
"364",1813,374
"365",1814,899
"366",1815,1115
"367",1816,786
"368",1817,772
"369",1818,889
"370",1819,827
"371",1820,967
"372",1821,973
"373",1822,897
"374",1823,889
"375",1824,1184
"376",1825,1165
"377",1826,1065
"378",1827,1107
"379",1828,1112
"380",1829,1143
"381",1830,1472
"382",1831,1208
"383",1832,1188
"384",1833,1097
"385",1834,1066
"386",1835,1076
"387",1836,1086
"388",1837,1140
"389",1838,1298
"390",1839,1321
"391",1840,1448
"392",1841,1578
"393",1842,1525
"394",1843,1456
"395",1844,1497
"396",1845,1593
"397",1846,1463
"398",1847,1573
"399",1848,2511
"400",1849,1701
"401",1850,1797
"402",1851,1741
"403",1852,1766
"404",1853,1997
"405",1854,2143
"406",1855,2042
"407",1856,2095
"408",1857,2050
"409",1858,2160
"410",1859,2278
"411",1860,2593
"412",1861,2567
"413",1862,2462
"414",1863,2471
"415",1864,2425
"416",1865,2734
"417",1866,2902
"418",1867,3023
"419",1868,2976
"420",1869,2861
"421",1870,2540
"422",1871,2691
"423",1872,2926
"424",1873,2598
"425",1874,2801
"426",1875,2987
"427",1876,2845
"428",1877,3017
"429",1878,2839
"430",1879,2938
"431",1880,2916
"432",1881,2795
"433",1882,2613
"434",1883,2682
"435",1884,2721
"436",1885,2617
"437",1886,2690
"438",1887,2581
"439",1888,2792
"440",1889,2875
"441",1890,2766
"442",1891,2533
"443",1892,2505
"444",1893,2340
"445",1894,2621
"446",1895,2377
"447",1896,2454
"448",1897,2462
"449",1898,2417
"450",1899,2270
"451",1900,3233
"452",1901,2180
"453",1902,2209
"454",1903,2131
"455",1904,2173
"456",1905,2159
"457",1906,1932
"458",1907,1783
"459",1908,1872
"460",1909,1958
"461",1910,2035
"462",1911,1972
"463",1912,1939
"464",1913,1947
"465",1914,1523
"466",1915,687
"467",1916,816
"468",1917,830
"469",1918,819
"470",1919,876
"471",1920,1277
"472",1921,863
"473",1922,1045
"474",1923,911
"475",1924,883
"476",1925,1049
"477",1926,1087
"478",1927,1035
"479",1928,1092
"480",1929,949
"481",1930,1062
"482",1931,1073
"483",1932,891
"484",1933,857
"485",1934,926
"486",1935,1241
"487",1936,1218
"488",1937,1164
"489",1938,1134
"490",1939,682
"491",1940,242
"492",1941,295
"493",1942,270
"494",1943,288
"495",1944,279
"496",1945,456
"497",1946,647
"498",1947,729
"499",1948,741
"500",1949,735
"501",1950,732
"502",1951,651
"503",1952,711
"504",1953,746
"505",1954,874
"506",1955,834
"507",1956,810
"508",1957,1026
"509",1958,1054
"510",1959,1132
"511",1960,1233
"512",1961,1240
"513",1962,1168
"514",1963,1124
"515",1964,1122
"516",1965,887
"517",1966,955
"518",1967,978
"519",1968,1086
"520",1969,991
"521",1970,769
"522",1971,689
"523",1972,784
"524",1973,845
"525",1974,1043
"526",1975,1119
"527",1976,1283
"528",1977,1528
"529",1978,1508
"530",1979,1617
"531",1980,1702
"532",1981,1764
"533",1982,1757
"534",1983,1749
"535",1984,1827
"536",1985,1970
"537",1986,1889
"538",1987,2016
"539",1988,1956
"540",1989,1937
"541",1990,2010
"542",1991,1937
"543",1992,2102
"544",1993,2030
"545",1994,1958
"546",1995,2023
"547",1996,1970
"548",1997,2252
"549",1998,1930
"550",1999,1785
"551",2000,1599
"552",2001,119
"553",2002,98
"554",2003,76
"555",2004,60
"556",2005,74
"557",2006,57
"558",2007,42
"559",2008,38
"560",2009,36
"561",2010,30
"562",2011,20
"563",2012,25
"564",2013,10
"565",2014,13
"566",2015,7
"567",2016,5
"568",2017,0
"569",2018,0
"570",2019,0
"571",2020,0
"572",2021,0
