"","title","ark","is_quotidien"
"305","La Dépêche de l'Aube ","cb327559686",TRUE
"306","Le Témoignage ","cb32876618n",FALSE
"307","Le Libertaire ","cb34447276x",FALSE
"308","La Croix de l'Aveyron ","cb32753012m",FALSE
"309","La Revue politique et littéraire ","cb32861147f",FALSE
"310","Riom journal ","cb32862011d",TRUE
"311","Le Réveil du Nord ","cb344247556",TRUE
"312","Le Drapeau blanc ","cb327588450",TRUE
"313","Le Courrier de Bourges ","cb327502086",TRUE
"314","Le Journal des transports ","cb328005112",FALSE
"315","La Dépêche oranaise ","cb32756124m",TRUE
"316","Le Tintamarre ","cb32877684p",FALSE
"317","Le Madécasse ","cb328104904",TRUE
"318","Le Parti ouvrier ","cb32833469f",TRUE
"319","Le Moniteur parisien ","cb328195432",TRUE
"320","L'Argus ","cb34348230p",FALSE
"321","Le Radical de l'Allier ","cb32847160p",TRUE
"322","Journal de Guebwiller ","cb41947606d",TRUE
"323","Le Ralliement ","cb32847751c",TRUE
"324","La Tafna ","cb32875625p",TRUE
"325","Le Républicain sud oranais ","cb32852788q",TRUE
"326","Dien Tin","cb32757297b",TRUE
"327","Le Journal du soir ","cb328011356",TRUE
"328","La Dépêche du Puy de","cb32756088k",TRUE
"329","Le Nouvelliste ","cb32826965z",TRUE
"330","Weltbote","cb43614924k",TRUE
"331","Le Cri du peuple ","cb32752488q",FALSE
"332","Feuille de Provins ","cb32774629n",FALSE
"333","L'Éclaireur de l'Ain ","cb327639427",FALSE
"334","Les Jeunes ","cb344198366",FALSE
"335","L'Éclaireur de l'arrondissement de Coulommiers ","cb32763950v",TRUE
"336","Gazette de Lyon ","cb327805106",TRUE
"337","L'Écho de l'arrondissement de Bar sur","cb327600750",TRUE
"338","Le Clairon ","cb327431371",TRUE
"339","Oran républicain","cb32829423c",TRUE
"340","La Démocratie pacifique ","cb32755585p",TRUE
"341","Le Combat ","cb327444880",TRUE
"342","Le Travailleur socialiste de l'Yonne ","cb32880363d",TRUE
"343","Le Moniteur officiel des établissements français dans l'Inde ","cb32819526g",TRUE
"344","L'Avenir d'Arcachon ","cb327080521",FALSE
"345","Le National ","cb32822285p",TRUE
"346","Rouge Midi ","cb328629785",TRUE
"347","Gazette du Bas Languedoc ","cb32781005g",TRUE
"348","Journal officiel de l'île de La Réunion","cb32802046t",FALSE
"349","La Semaine religieuse du diocèse d'Alby","cb328670468",FALSE
"350","Le Réveil bônois","cb328538093",TRUE
"351","Journal de Ruffec ","cb327988105",FALSE
"352","Le Ralliement ","cb328477203",TRUE
"353","Paris Dakar ","cb34503400m",TRUE
"354","Le Journal des brasseurs","cb327992938",FALSE
"355","Le Voleur illustré ","cb32892001q",TRUE
"356","Le Réveil de Sétif ","cb328543105",TRUE
"357","L'Industriel de Saint Germain","cb32791263d",FALSE
"358","L'Avenir de Tlemcen ","cb327085187",FALSE
"359","La Fronde ","cb327788531",TRUE
"360","L'Écho de la montagne ","cb34520116v",FALSE
"361","La Croix de la Charente","cb327530327",FALSE
